QnA,topic,customer_question,agent_reply,1
"What types of insurance does Whitley Newman Insurance offer? [https://whitleynewman.com/] Whitley Newman Insurance and Financial Services is a market leader in auto, property, life, and investment insurance for both personal and business needs. We offer comprehensive plans tailored to your specific requirements. You can learn more on our website: [https://whitleynewman.com/]",About Whitley Newman Insurance,What types of insurance does Whitley Newman Insurance offer?,"Whitley Newman Insurance and Financial Services is a market leader in auto, property, life, and investment insurance for both personal and business needs. We offer comprehensive plans tailored to your specific requirements. You can learn more on our website: [https://whitleynewman.com/]",
"How can I access my insurance information online? You can access your insurance anytime, anywhere, on any device through our Client Connect Portal. Simply log in or register at our Client Connect Portal to manage your policy documents, pink cards, and other self-service options 24/7. Additionally, you can download our mobile app from the app store for both Apple and Android devices for easy access.",Client Connect Portal,How can I access my insurance information online?,"You can access your insurance anytime, anywhere, on any device through our Client Connect Portal. Simply log in or register at our Client Connect Portal to manage your policy documents, pink cards, and other self-service options 24/7. Additionally, you can download our mobile app from the app store for both Apple and Android devices for easy access.",
"What sets Whitley Newman Insurance apart from other insurance providers? Whitley Newman Insurance and Financial Services focuses on providing personalized service that reviews your needs as you grow and accumulate assets, building wealth. Our complete, simplified, and individualized plans ensure that you receive the insurance protection and personal attention you deserve.",About Whitley Newman Insurance,What sets Whitley Newman Insurance apart from other insurance providers?,"Whitley Newman Insurance and Financial Services focuses on providing personalized service that reviews your needs as you grow and accumulate assets, building wealth. Our complete, simplified, and individualized plans ensure that you receive the insurance protection and personal attention you deserve.",
"How can I contact Whitley Newman Insurance for inquiries? You can reach us by phone at [insert phone number] or visit our office during business hours. Alternatively, you can submit your inquiries through the contact form on our website: [https://whitleynewman.com/contact-us/]",General,How can I contact Whitley Newman Insurance for inquiries?,"You can reach us by phone at [insert phone number] or visit our office during business hours. Alternatively, you can submit your inquiries through the contact form on our website: [https://whitleynewman.com/contact-us/]",2.1
"Community involvement - What community groups and initiatives does Whitley Newman Insurance support? Whitley Newman Insurance is a proud supporter of many community groups and initiatives. Over the past 60 years, we have taken pride in giving back to the community that has given us so much. Please help us to support these worthwhile local groups: Belleville Fire Department, Belleville Lawn Bowling Club, Belleville Soccer Association, Belleville Waterfront Trail, Brighton Soccer Association, Camp Trillium, Chair of Economic Development, City of Quinte West, Deseronto Ballpark Renovation, Hastings and Prince Edward Learning Foundation, Kiwanis Charity Golf Classic, Kiwanis Fishing Weekend, Loyalist College, Madoc Public Library, National Air Force Museum, Quinte Christian High School, Quinte Down Syndrome Support Network, Quinte West Fire Department, Quinte West Minor Hockey Association, Quinte West OPP, Salvation Army, Stirling-Rawdon Council (Medical Equipment), Stirling Theatre, Trenton Christian School, Trenton DBIA, Trenton High School Track Quest, Trenton Memorial Hospital Foundation, Quinte West Soccer Association, Trent Port Historical Society.",About,What community groups and initiatives does Whitley Newman Insurance support?,"Whitley Newman Insurance is a proud supporter of many community groups and initiatives. Over the past 60 years, we have taken pride in giving back to the community that has given us so much. Please help us to support these worthwhile local groups: Belleville Fire Department, Belleville Lawn Bowling Club, Belleville Soccer Association, Belleville Waterfront Trail, Brighton Soccer Association, Camp Trillium, Chair of Economic Development, City of Quinte West, Deseronto Ballpark Renovation, Hastings and Prince Edward Learning Foundation, Kiwanis Charity Golf Classic, Kiwanis Fishing Weekend, Loyalist College, Madoc Public Library, National Air Force Museum, Quinte Christian High School, Quinte Down Syndrome Support Network, Quinte West Fire Department, Quinte West Minor Hockey Association, Quinte West OPP, Salvation Army, Stirling-Rawdon Council (Medical Equipment), Stirling Theatre, Trenton Christian School, Trenton DBIA, Trenton High School Track Quest, Trenton Memorial Hospital Foundation, Quinte West Soccer Association, Trent Port Historical Society.",2.2
"Who is Navacord? [https://navacord.com/] Navacord is a leading insurance and risk management company created to keep the Canadian entrepreneurial spirit alive. Led by a passionate and engaged partnership group, Navacord is committed to the success of its clients and delivering expert advice in an increasingly complex world, allowing clients to face the future with confidence. Navacord is entrepreneurial and creative—which is why it seeks out partnerships with local, independent brokerages like ours.",Navacord,Who is Navacord?,"Navacord is a leading insurance and risk management company created to keep the Canadian entrepreneurial spirit alive. Led by a passionate and engaged partnership group, Navacord is committed to the success of its clients and delivering expert advice in an increasingly complex world, allowing clients to face the future with confidence. Navacord is entrepreneurial and creative—which is why it seeks out partnerships with local, independent brokerages like ours.",
"What is the reason for Whitley Newman's partnership with Navacord? This partnership gives us an incomparable breadth of expertise and access to an immense national network. We have the full support of Navacord’s weight, but we haven’t lost our personal touch, autonomy, or the way we do business—rather, each partner brings its own industry prowess into the fold, making Navacord an insurance expert. We have a big reach, while maintaining our local approach—we are better together.",Navacord,What is the reason for Whitley Newman's partnership with Navacord?,"Partnering with Navacord makes our brokerage better. With Navacord’s support, we can increase our sector knowledge and expand our product offerings without losing what makes our brokerage unique. This means we’re able to deliver a more diverse service offering, greater support, and more creative insurance solutions to you. Our partnership with Navacord is the best of both worlds—our local touch backed by their national strength.",2.3
How do I apply for a career opportunity at Whitley Newman Insurance? Please submit cover letter and resume to careers@whitleynewman.com,Careers,How do I apply for a career opportunity at Whitley Newman Insurance?,Please submit your cover letter and resume to careers@whitleynewman.com.,
"Does Whitley Newman Insurance provide accommodations for persons with disabilities? We are committed to providing accommodations for persons with disabilities. If you require accommodation, we will work with you to meet your needs.",Careers,Does Whitley Newman Insurance provide accommodations for persons with disabilities?,"We are committed to providing accommodations for persons with disabilities. If you require accommodation, we will work with you to meet your needs.",2.4
"What insurance companies does Whitley Newman Insurance represent? We have access to a broad range of insurance, investment, and financial service providers and are especially proud to highlight the following companies: Aviva Insurance, Aviva Elite, AXA Art, AXA XL, Bay of Quinte Mutual Insurance, CAA, Chieftain, CHUBB Insurance, CNA Insurance, Coachman, Commonwell Mutual Insurance Company, Ecclesiastical Insurance, Echelon Insurance, Economical Insurance Company, Global Aerospace, Gore Mutual Insurance, Hagerty, HTM Insurance Company, Intact Insurance, Intact Public Entities, Lennox & Addington Mutual, Lloyds of London, Markel Insurance, Next Wave, Northbridge Insurance, Optimum Insurance, Pembridge & Pafco Insurance, Premier Insurance Group, QBE, SGI, South Western Group, Totten Group, Travelers Insurance, Tripoint Underwriting, Trisura, USLI, Victor Insurance, Wawanesa Mutual Insurance, Zurich Insurance.",Companies we represent,What insurance companies does Whitley Newman Insurance represent?,"Whitley Newman Insurance has access to a broad range of insurance, investment, and financial service providers. Some of the companies we represent include Aviva Insurance, Aviva Elite, AXA Art, AXA XL, Bay of Quinte Mutual Insurance, CAA, Chieftain, CHUBB Insurance, CNA Insurance, Coachman, Commonwell Mutual Insurance Company, Ecclesiastical Insurance, Echelon Insurance, Economical Insurance Company, Global Aerospace, Gore Mutual Insurance, Hagerty, HTM Insurance Company, Intact Insurance, Intact Public Entities, Lennox & Addington Mutual, Lloyds of London, Markel Insurance, Next Wave, Northbridge Insurance, Optimum Insurance, Pembridge & Pafco Insurance, Premier Insurance Group, QBE, SGI, South Western Group, Totten Group, Travelers Insurance, Tripoint Underwriting, Trisura, USLI, Victor Insurance, Wawanesa Mutual Insurance, and Zurich Insurance.",
